     ,ra       ,dec       ,parallax  ,parallax_er ,pmra      ,pmdec     ,photo_g_mean_mag ,photo_bp_mean_mag ,photo_rb_mean_mag
 380 ,67.57141 ,26.37374  , 18.19733 ,   0.038243 ,86.76499  ,-50.2034  ,       14.94081  ,        16.73747  ,13.66784
 381 ,68.52256 ,14.21748  , 18.19945 ,   0.030275 ,85.34915  ,-16.90462 ,       11.62939  ,        12.53304  ,10.69082
 382 ,66.25155 ,11.97786  , 18.21416 ,   0.026127 ,43.99389  ,-15.3747  ,        8.270116 ,         8.581948 , 7.791878
 383 ,71.52211 ,15.88988  , 18.22215 ,   0.035908 ,76.81043  ,-25.39764 ,       15.08587  ,        16.89834  ,13.80777
 384 ,74.36514 ,13.94514  , 18.2256  ,   0.036599 ,70.16429  ,-18.10592 ,       14.98904  ,        16.72248  ,13.73275
 385 ,64.1114  , 8.432779 , 18.22792 ,   0.017574 ,-78.28645 ,20.10856  ,       13.86816  ,        15.02216  ,12.8049
 386 ,60.7578  ,21.76425  , 18.22802 ,   0.044843 ,-5.129659 ,26.2269   ,       15.66329  ,        17.46835  ,14.39001
 387 ,69.81914 ,15.91789  , 18.23083 ,   0.194647 ,81.92573  ,-20.19515 ,        4.641709 ,         4.712099 , 4.477797
 388 ,65.21265 ,18.92318  , 18.23256 ,   0.226404 ,-55.40952 ,-172.2751 ,       18.63389  ,        19.19355  ,17.92043
 389 ,67.60021 ,17.49959  , 18.23571 ,   0.488849 ,78.77907  ,-28.80435 ,       13.65483  ,        14.80348  ,12.06086
 390 ,71.8595  ,23.05074  , 18.23667 ,   0.015914 ,78.828    ,-41.27526 ,       10.30257  ,        10.90146  , 9.567541
 391 ,67.68794 ,22.6299   , 18.27238 ,   0.045458 ,80.10994  ,-33.9886  ,       13.54072  ,        15.051    ,12.34338
 392 ,60.77518 ,11.14519  , 18.27528 ,   0.025767 ,-45.09525 ,18.78145  ,       14.50603  ,        16.05644  ,13.29523
 393 ,69.53989 ,11.31806  , 18.29533 ,   0.392585 ,90.70177  ,-14.25741 ,       14.69498  ,        16.42766  ,13.30962
 394 ,74.36253 ,22.01734  , 18.29629 ,   0.083564 ,68.56372  ,-39.2346  ,       16.39546  ,        18.30867  ,15.03196
 395 ,61.67174 ,13.70637  , 18.30059 ,   0.043082 ,228.8943  ,-233.7842 ,       15.61127  ,        17.48584  ,14.31536
 396 ,72.58    ,24.65285  , 18.31854 ,   0.018748 ,33.07078  ,28.11863  ,       12.81135  ,        13.85777  ,11.79642
 397 ,64.92345 ,20.64954  , 18.3236  ,   0.031934 ,146.8681  ,-107.9234 ,       14.99905  ,        16.5706   ,13.78865
 398 ,74.16587 ,21.69589  , 18.34072 ,   0.038449 ,-47.61575 ,-153.4957 ,       15.10225  ,        16.50897  ,13.78948
 399 ,71.98697 ,19.02455  , 18.34731 ,   0.023642 ,80.28976  ,-35.07723 ,       13.16627  ,        14.6829   ,11.95619
 400 ,66.25145 ,16.98479  , 18.35602 ,   0.018642 ,91.12098  ,-24.70689 ,        9.969975 ,        10.50751  , 9.283397
 401 ,69.00076 ,16.54067  , 18.3564  ,   0.465341 ,96.04015  ,-27.07932 ,       10.3103   ,        11.0459   , 9.446431
 402 ,65.87712 ,24.40522  , 18.36722 ,   0.022666 ,92.87763  ,-42.62956 ,        7.066272 ,         7.288072 , 6.685637
 403 ,59.88048 ,21.08046  , 18.36743 ,   0.298073 ,73.52371  ,-28.78155 ,       18.83412  ,        21.5995   ,17.28029
 404 ,62.50839 ,23.70329  , 18.37991 ,   0.02507  ,28.5221   ,-28.99417 ,       13.53592  ,        14.95859  ,12.36534
 405 ,75.77427 ,21.58978  , 18.38511 ,   0.177159 ,67.39141  ,-40.9575  ,        4.583001 ,         4.664591 , 4.440023
 406 ,68.89683 ,10.17023  , 18.39008 ,   0.102436 ,59.51099  ,-53.29791 ,        7.694555 ,         7.960719 , 7.260897
 407 ,69.73926 ,14.10548  , 18.39084 ,   0.297926 ,91.53597  ,-20.42284 ,        7.807156 ,         8.126095 , 7.318473
 408 ,74.45659 ,14.00211  , 18.39955 ,   0.019928 ,69.76552  ,-18.04014 ,        8.710996 ,         9.07243  , 8.180771
 409 ,64.77454 ,17.57303  , 18.46194 ,   0.174551 ,95.773    ,-24.0461  ,       15.87959  ,        17.98765  ,14.54179
 410 ,68.18932 ,25.09255  , 18.48183 ,   0.038247 ,88.90178  ,-46.53667 ,       15.23833  ,        17.05605  ,13.96055
 411 ,69.07862 ,22.27081  , 18.48518 ,   0.07692  ,93.47349  ,-146.8838 ,       16.39222  ,        18.37686  ,15.07511
 412 ,71.49609 ,15.98498  , 18.50411 ,   0.150053 ,-59.75033 ,-68.96818 ,       14.97355  ,        16.46281  ,13.7069
 413 ,70.71777 ,23.33939  , 18.51627 ,   0.021062 ,80.66514  ,-43.7806  ,       13.73872  ,        15.25195  ,12.53888
 414 ,68.294   ,11.38268  , 18.52951 ,   0.019064 ,180.7888  ,-72.026   ,       13.46409  ,        14.75695  ,12.34093
 415 ,74.20073 ,18.34034  , 18.53487 ,   0.017352 ,21.69185  ,-82.04202 ,       13.77582  ,        15.27619  ,12.57988
 416 ,68.03344 ,17.66468  , 18.53543 ,   0.161451 ,95.46967  ,-36.05451 ,       16.6356   ,                  ,  
 417 ,71.98635 ,19.02376  , 18.54486 ,   0.017612 ,73.48548  ,-30.96016 ,       12.54209  ,        13.69865  ,11.46671
 418 ,61.05387 ,18.99561  , 18.54882 ,   0.036751 ,108.4418  ,-26.06369 ,       15.04356  ,        16.82927  ,13.76889
 419 ,64.54542 ,23.28448  , 18.55128 ,   0.019089 ,93.80507  ,-38.71571 ,        9.168365 ,         9.687997 , 8.457889
 420 ,75.78221 ,13.73059  , 18.56201 ,   0.020328 ,66.30419  ,-18.04264 ,        8.791766 ,         9.165581 , 8.249125
 421 ,74.20303 ,18.33493  , 18.56966 ,   0.074425 ,22.44999  ,-82.73999 ,       16.82369  ,        19.07965  ,15.45378
 422 ,66.31114 ,18.97346  , 18.56971 ,   0.032179 ,97.28108  ,-28.88761 ,       11.95718  ,        12.9256   ,10.87682
