,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
0,132.78542129307277,11.825614581557574,1.1489776853339835,0.08221814,0.29981682061656834,-26.231366448913526,16.789867,17.408293,15.918761
1,132.78614717991618,11.82522992893732,1.2578243929738775,0.026758062,-0.34860532782410614,-26.08594224228184,14.620485,14.977159,14.089248
2,132.7717921169326,11.826132729168837,1.1705226025286304,0.018622942,-10.731187040613,-3.0808784715450286,13.612037,13.908195,13.154003
3,132.78395307110318,11.829051806399667,1.0950090285841547,0.0359821,-11.051505759344167,-2.948260671358632,15.321573,15.745658,14.7323475
4,132.7884736054834,11.805723194140635,1.1881258533755474,0.018638723,-10.072247361078256,-3.0192506194017987,13.22975,13.521301,12.778492
5,132.78330056997476,11.83217796432791,1.2178730127808317,0.03417285,-10.848258346530308,-2.721088107107375,15.237194,15.704848,14.596461
6,132.79845931610862,11.814040886829336,1.158334969025947,0.020834543,-11.376567188273864,-2.9606708863186926,13.630787,13.930822,13.168488
7,132.78489103549325,11.835494425241782,1.1469201738403147,0.018142264,-11.103540712604516,-3.1179265256072126,13.431571,13.725635,12.978494
8,132.75972072804413,11.814852928274735,1.1612969689320956,0.056023885,-10.991297540001316,-2.790541857285642,16.008108,16.561281,15.299606
9,132.75879094360027,11.817018317411668,1.279918690167404,0.048340566,-10.812388847217115,-3.077804856168867,13.173609,13.47028,12.676565
10,132.80089214443902,11.809643484926914,1.170970523788535,0.020798255,-10.966427647421286,-3.076086308524411,13.754309,14.05267,13.296951
11,132.80005486962708,11.807414645829866,1.1779026848834402,0.02863511,-10.831586999426825,-2.8744490585316127,14.689736,15.0547905,14.160499
12,132.75640409617554,11.826187033639433,1.226805421256137,0.038420998,-11.528608769854998,-3.31178943714422,12.506425,12.820782,12.030207
13,132.7989806008438,11.833847502498788,1.0587383632278093,0.0351934,-11.066599682718316,-3.1778097393941644,15.109005,15.623593,14.436963
14,132.77677928197727,11.79184099767538,1.2211695240980063,0.04937365,-11.183368762335174,-2.870387366899041,16.073326,16.630234,15.356735
15,132.7579602912556,11.831424530142442,1.0619275130103478,0.08637073,-4.238645024832383,-7.6343883652469415,17.072771,17.80776,16.250296
16,132.75330618262134,11.814653311082745,1.1296682844559027,0.02418699,-10.813268968135507,-2.7324920025312696,14.453478,14.799417,13.943151
17,132.8032899424663,11.830617199660905,1.0063032886861498,0.21870972,-3.411255085467973,-6.872231846786456,18.711836,19.67086,17.769703
