     ,ra                 ,dec                ,parallax           ,parallax_error ,pmra                   ,pmdec                  ,phot_g_mean_mag ,phot_bp_mean_mag ,phot_rp_mean_mag
   0 ,29.412347402198947 ,37.77006330418928  ,2.331655829651997  ,  0.0425149    ,10.059709093635215     ,-11.636031481886715    ,      8.771644  ,       9.270936  ,       8.111134
   1 ,29.440725477270703 ,37.771147378069095 ,1.8217086543442234 ,  0.99638903   ,20.376824228554828     ,4.7542211758662045     ,     19.601513  ,      21.203987  ,      18.446861
   2 ,29.446434665312935 ,37.791701373836986 ,2.2907007900913694 ,  0.031769395  ,8.178681646735765      ,-10.81846357700089     ,     10.875762  ,      11.079327  ,      10.5267315
   3 ,29.38916267173555  ,37.767416755955985 ,1.9624536021139203 ,  0.9620331    ,1.1952085629316267     ,-12.99934428341669     ,     19.869484  ,      21.016964  ,      18.645504
   4 ,29.407026460970435 ,37.816831754896356 ,2.278250612829386  ,  0.07598866   ,9.9731557931168        ,-12.209487636352822    ,      9.9099245 ,      10.158777  ,       9.501825
   5 ,29.468996497826822 ,37.78821535122986  ,1.894559464656782  ,  0.63442546   ,17.055614941629983     ,1.6378545261725357     ,     19.389347  ,      20.604687  ,      18.22498
   6 ,29.39491291258242  ,37.81834457906881  ,2.0975366939865747 ,  0.12302023   ,10.439951668683252     ,-11.48051343478162     ,     16.869213  ,      17.962297  ,      15.847679
   7 ,29.47551668543388  ,37.77153089972155  ,2.362825455287543  ,  0.62172437   ,-2.994150478738792     ,-14.731123973862964    ,     19.152933  ,      20.322002  ,      18.00503
   8 ,29.430162837750075 ,37.73823293999575  ,2.0508856658068697 ,  0.2555725    ,9.237951534685926      ,-12.45346054147856     ,     17.913713  ,      19.345634  ,      16.746675
   9 ,29.43079894132781  ,37.735853938567246 ,2.0612181495580866 ,  0.47298804   ,-8.686021428858139     ,-10.900011608738524    ,     18.714     ,      19.86622   ,      17.623749
  10 ,29.490810628408678 ,37.80618407930928  ,2.2073474474840213 ,  0.028364094  ,9.52463974125099       ,-11.909145982138025    ,     11.294135  ,      11.546816  ,      10.884692
  11 ,29.436946692702737 ,37.72226086188429  ,2.5461398049739232 ,  0.052354634  ,10.1351010737159       ,-23.159605289190022    ,     14.885481  ,      15.5767975 ,      14.07961
  12 ,29.437818783289917 ,37.721479961227466 ,2.325453793282107  ,  0.06783677   ,9.542263359965489      ,-11.683174213780045    ,     15.445626  ,      16.347494  ,      14.493386
  13 ,29.485193356683016 ,37.833591246210915 ,2.278046759535473  ,  0.026669672  ,8.745284501154934      ,-11.976074906565138    ,     10.583017  ,      10.806964  ,      10.212505
  14 ,29.510905612375122 ,37.78446824436921  ,2.445446750880719  ,  1.1185868    ,-0.8872058898208056    ,-1.9493030470077661    ,     20.144678  ,      20.755104  ,      18.82684
  15 ,29.433219262834395 ,37.86165819704511  ,2.2783204091603504 ,  0.025071576  ,10.16533455543791      ,-11.05213040980403     ,     10.32728   ,      10.551019  ,       9.95461
  16 ,29.358374392586175 ,37.72208803346284  ,2.3457914119265095 ,  0.03418825   ,9.418084968505642      ,-11.779764108723906    ,     10.337998  ,      10.557002  ,       9.9691515
  17 ,29.328831907187727 ,37.749714066314226 ,2.2188290168654228 ,  0.46693328   ,15.889515435433074     ,-6.087747583721869     ,     19.10019   ,      20.654036  ,      17.945463
  18 ,29.342150904131273 ,37.7305439123014   ,2.3566745073407986 ,  1.498452     ,4.014104918690723      ,-3.673684521295142     ,     20.532202  ,      21.55822   ,      19.262497
  19 ,29.527053192680167 ,37.78140274957452  ,1.8265356261295849 ,  0.7065494    ,45.569158530983096     ,-20.441484046665952    ,     19.735325  ,      20.762138  ,      18.628134
  20 ,29.329257905318133 ,37.73829511422911  ,1.9844456048632808 ,  0.0887314    ,1.3470022325199267     ,6.843616317133225      ,     16.455677  ,      17.33683   ,      15.527847
  21 ,29.52809372317084  ,37.76171279096908  ,1.8148962133705044 ,  0.14386612   ,14.339561026494591     ,-8.112766840385651     ,     17.255213  ,      18.418608  ,      16.233587
  22 ,29.385743799845194 ,37.701541816740686 ,2.269772952155405  ,  0.047929358  ,10.238942019827542     ,-12.389516216550614    ,     13.733765  ,      14.150436  ,      13.149891
  23 ,29.414405590368723 ,37.87381947093315  ,2.399276786112213  ,  0.056316275  ,8.890677759851512      ,-11.726938087507326    ,     10.376703  ,      10.571674  ,      10.034374
  24 ,29.453706233791397 ,37.695594773913825 ,1.8252091827560166 ,  0.059508808  ,-2.9374543436334593    ,-3.9068137042433992    ,     15.098331  ,      15.646232  ,      14.406113
  25 ,29.315808479237926 ,37.73702507708361  ,2.3629543248218083 ,  0.3024281    ,9.887178996330587      ,-11.726258817476984    ,     18.299839  ,      19.572878  ,      17.15867
  26 ,29.518703629620518 ,37.84462120214318  ,1.9887071235597462 ,  0.021764217  ,11.995859443173751     ,-7.406648138409639     ,     11.80247   ,      12.003075  ,      11.456117
  27 ,29.546307044123967 ,37.798232814886035 ,2.274283232245928  ,  0.03430269   ,9.934990332750312      ,-11.140201538349004    ,     14.98236   ,      15.613588  ,      14.220611
  28 ,29.53241861546099  ,37.73677405096781  ,2.3574357973710076 ,  0.89727277   ,8.675752920149451      ,11.758089626186695     ,     19.95159   ,      20.64317   ,      18.873098
  29 ,29.302743240915913 ,37.82359538739227  ,2.2017326221470555 ,  0.6300655    ,-24.959866764278324    ,-12.565924922190582    ,     19.61271   ,      21.11447   ,      18.378134
