     ,ra                 ,dec                ,parallax            ,parallax_error ,pmra                 ,pmdec                 ,phot_g_mean_mag ,phot_bp_mean_mag ,phot_rp_mean_mag
   0 ,229.65143738472614 ,2.081463545207702  ,0.13859966604515236 ,  0.27739596   ,5.480860276549039    ,-8.473174773041984    ,     14.912608  ,      14.784602  ,      14.119391
   1 ,229.65224354284493 ,2.083338078382609  ,0.12865803529209    ,  0.01744691   ,3.85176702163449     ,-9.950923670020044    ,     12.110241  ,      12.794375  ,      11.245122
   2 ,229.6525532318136  ,2.082168651120659  ,0.126162128112742   ,  0.06565241   ,3.892362335320656    ,-10.120245474162195   ,     15.449905  ,      15.118802  ,      14.687182
   3 ,229.64926375302116 ,2.085586247666286  ,0.15178170930343962 ,  0.07943442   ,4.000256300309334    ,-10.503031654341697   ,     15.018832  ,      14.926658  ,      14.389313
   4 ,229.6509580789012  ,2.086358693853063  ,0.10123062167900616 ,  0.019405913  ,4.2312638934608096   ,-9.763586184440362    ,     11.929609  ,      12.634531  ,      11.029979
   5 ,229.6533402976143  ,2.0817171871858933 ,0.1283849245162999  ,  0.02077263   ,3.881029541973948    ,-9.875026111918492    ,     12.389406  ,      13.0234785 ,      11.585495
   6 ,229.64643552967073 ,2.0819837232870286 ,0.15137467927175202 ,  0.3153835    ,3.4991391232330464   ,-9.762768581864885    ,     15.549167  ,      15.2053795 ,      14.10007
   7 ,229.64633247310508 ,2.0850133727892013 ,0.1579391792937073  ,  0.032470282  ,4.1521233753553695   ,-10.009036831970064   ,     13.187733  ,      13.6072645 ,      12.402368
   8 ,229.64575959586503 ,2.0820544500167033 ,0.09316309746296161 ,  0.018960362  ,4.187450525289073    ,-9.981524341650854    ,     12.225967  ,      12.840855  ,      11.364068
   9 ,229.64745894560352 ,2.0793760886959762 ,0.1792083381712658  ,  0.25200522   ,4.564228926825809    ,-8.180193229406424    ,     16.411167  ,      15.344592  ,      14.572205
  10 ,229.65457301585712 ,2.0817132455557954 ,0.10866653721262806 ,  0.09339391   ,3.2617113266216773   ,-9.351620172433522    ,     15.520516  ,      15.010725  ,      14.768958
  11 ,229.65231194971915 ,2.07885134573791   ,0.123455149898683   ,  0.33567256   ,6.394722090903295    ,-6.699217481423766    ,     17.177965  ,      16.342802  ,      15.510081
  12 ,229.645105352212   ,2.0851985823985815 ,0.11621030198265195 ,  0.019054707  ,4.036586047540808    ,-9.985351251914116    ,     11.948423  ,      12.667229  ,      11.058144
  13 ,229.6444789405624  ,2.082089756130827  ,0.16500018440854303 ,  0.2157758    ,3.986578042809537    ,-10.44470118076779    ,     15.587956  ,                 ,        
  14 ,229.6541927420173  ,2.0867248276060475 ,0.10249793686941432 ,  0.07089891   ,4.486103604330118    ,-9.404044840922074    ,     15.423945  ,      15.221481  ,      14.974483
  15 ,229.65057773760321 ,2.077245579292865  ,0.17454778437926907 ,  0.079822324  ,3.5899450951134537   ,-10.15946981669035    ,     16.02663   ,      15.915551  ,      14.964889
  16 ,229.65525112477863 ,2.085591736724461  ,0.12773977082433857 ,  0.14750488   ,3.9251001806028736   ,-9.783662316497303    ,     16.984915  ,      16.246971  ,      15.479745
  17 ,229.65228277690306 ,2.0885135431034896 ,0.15558278774858317 ,  0.025793327  ,4.462871129015074    ,-9.840348369924127    ,     13.906291  ,      14.350714  ,      13.168167
  18 ,229.6481763630208  ,2.0887582890984957 ,0.10156907568541958 ,  0.128655     ,3.645191048130364    ,-9.408429933219951    ,     16.242237  ,      15.939057  ,      15.062183
  19 ,229.65591871794447 ,2.0850433160952093 ,0.11123260735878734 ,  0.043825034  ,4.410838311149546    ,-10.309592766744426   ,     14.894321  ,      15.0318575 ,      14.224332
  20 ,229.64435989560624 ,2.0857510897540332 ,0.10923393816017535 ,  0.030835135  ,4.215490666101884    ,-9.65159386423306     ,     13.364514  ,      13.733     ,      12.484797
  21 ,229.64952791024146 ,2.076728869299555  ,0.13338970403739858 ,  0.028903719  ,3.8839643070189958   ,-9.8789247743133      ,     12.626508  ,      13.103464  ,      11.798781
  22 ,229.65621386086673 ,2.0819881367201125 ,0.14556305365070388 ,  0.023104455  ,3.829674056309266    ,-9.874888120935003    ,     14.018827  ,      14.46987   ,      13.30106
  23 ,229.6490499771962  ,2.0763743269027852 ,0.16092132472736326 ,  0.052485347  ,4.236528037583981    ,-10.571110337930913   ,     14.05058   ,      14.191428  ,      13.082635
  24 ,229.65388580568543 ,2.077472495497527  ,0.1529751645452361  ,  0.02102507   ,4.083805645674575    ,-10.18900887387337    ,     13.283555  ,      13.79809   ,      12.516027
  25 ,229.65640565858092 ,2.0854407891929094 ,0.12126367568535794 ,  0.020637013  ,4.328708253742919    ,-9.923205053698076    ,     13.866949  ,      14.264742  ,      13.094079
  26 ,229.64475009497815 ,2.087709008055078  ,0.09427544716799707 ,  0.08749602   ,7.864104110832658    ,-15.951497618353162   ,     16.0619    ,      15.040924  ,      14.096471
  27 ,229.64272831448048 ,2.0847730123192907 ,0.10721587588003274 ,  0.14764765   ,2.975245520290784    ,-10.499957427852674   ,     14.933302  ,      14.495003  ,      13.612412
  28 ,229.65137351945097 ,2.075499813914426  ,0.11111021763436908 ,  0.033499345  ,3.81566851538932     ,-9.623000372763789    ,     14.722291  ,      15.049818  ,      13.975017
  29 ,229.6440863501922  ,2.0880444762669894 ,0.10387096664863045 ,  0.06975115   ,3.6099812318457785   ,-9.476978852912886    ,     14.944677  ,      14.763708  ,      13.969341
